CAS Registry Number,Canonical SMILES,key
110-89-4,N1CCCCC1,0
108-91-8,NC1CCCCC1,0
100-61-8,C=1C=CC(=CC1)NC,0
504-24-5,N=1C=CC(N)=CC1,0
60-32-2,O=C(O)CCCCCN,0
873-74-5,N#CC1=CC=C(N)C=C1,0
100-20-9,O=C(Cl)C1=CC=C(C=C1)C(=O)Cl,0
462-08-8,N=1C=CC=C(N)C1,0
455-14-1,FC(F)(F)C1=CC=C(N)C=C1,0
96-50-4,N=1C=CSC1N,0
149647-78-9,O=C(NO)CCCCCCC(=O)NC=1C=CC=CC1,1
110-70-3,N(C)CCNC,0
1885-29-6,N#CC=1C=CC=CC1N,0
111-50-2,O=C(Cl)CCCCC(=O)Cl,0
67-62-9,O(N)C,0
2237-30-1,N#CC1=CC=CC(N)=C1,0
622-33-3,O(N)CC=1C=CC=CC1,0
111-19-3,O=C(Cl)CCCCCCCCC(=O)Cl,0
372-39-4,FC=1C=C(F)C=C(N)C1,0
22809-37-6,O=C(Cl)CCCCCBr,0
3544-25-0,N#CCC1=CC=C(N)C=C1,0
10027-07-3,O=C(Cl)CCCCCCC(=O)Cl,0
3946-32-5,O=C(O)CCCCCCC(=O)OC,0
123-98-8,O=C(Cl)CCCCCCCC(=O)Cl,0
142-79-0,O=C(Cl)CCCCCC(=O)Cl,0
6274-22-2,O=C(NC)C1=CC=C(N)C=C1,0
41624-92-4,O=C(Cl)CCCCCCC(=O)OC,0
782-45-6,O=C(NC=1C=CC=CC1)C2=CC=C(N)C=C2,0
22737-36-6,O(N)[Si](C)(C)C,0
149648-52-2,O=C(O)CCCCCCC(=O)NC=1C=CC=CC1,0
26071-05-6,O=C(NO)C1=CC=C(N)C=C1,0
23713-85-1,O=C(O)C=CC1=CC=C(C=CC(=O)O)C=C1,0
149647-79-0,O=C(NO)CCCCCCCC(=O)NC=1C=CC=CC1,0
39642-93-8,O=C(NC=1C=NC=CC1)CCCCCCC(=O)NC=2C=NC=CC2,0
149647-86-9,O=C(O)CCCCCCC(=O)NO,0
2409-13-4,O=C(O)CCCCCNC(=O)C1=CC=C(C=C1)C(=O)NCCCCCC(=O)O,0
149648-08-8,O=C(NO)CCCCCCC(=O)NC1=CC=C(F)C=C1,0
149648-49-7,O=C(OC)CCCCCCC(=O)NOCC=1C=CC=CC1,0
149648-29-3,O=C(NO)C1=CC=C(C=C1)C(=O)NC=2C=CC=CC2,0
149648-10-2,O=C(OC)C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,0
149648-07-7,O=C(NO)CCCCCCC(=O)NC=1C=CC=C(F)C1,0
149647-87-0,O=C(OC)CCCCCCC(=O)NO,0
94136-35-3,O=C(NOCC=1C=CC=CC1)CCCCCBr,0
149648-06-6,O=C(NO)CCCCCCC(=O)NC=1C=CC=CC1F,0
149648-04-4,O=C(NO)CCCCCCC(=O)NC=1C=CC=C(Cl)C1,0
149647-77-8,O=C(NO)CCCCCC(=O)NC=1C=CC=CC1,0
78582-38-4,O=C(Cl)CCCCCC(=O)OCC=1C=CC=CC1,0
56384-27-1,O=C(NO)CCCCC(=O)NC=1C=CC=CC1,0
149648-39-5,O=C(NC1=CC=C(C=C1)N(=O)=O)CCCCCCC(=O)NC2=CC=C(C=C2)N(=O)=O,0
149648-27-1,O=C(NO)CCCCCCC(=O)NC1=CC=C(OC)C=C1,0
149648-14-6,O=C(NO)CCCCCCC(=O)NC1=CC=C(Br)C=C1,0
149648-12-4,O=C(NO)CCCCCCC(=O)NC=1C=CC=CC1Br,0
149647-93-8,O=C(NO)CCCCCCC(=O)NCC=1C=CC=CC1,0
5502-67-0,O=C(O)CCCCCCC(=O)NC1=CC=C(C=C1)N(=O)=O,0
149648-50-0,O=C(NO)CCCCCCC(=O)NOCC=1C=CC=CC1,0
149648-24-8,O=C(NO)CCCCCCC(=O)NC=1C=C(F)C=C(F)C1,0
149648-05-5,[N-]=[N+]=NC1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,0
149648-00-0,O=C(NO)CCCCCCC(=O)NC1=CC=CC(=C1)C(F)(F)F,0
149647-99-4,O=C(NO)CCCCCCC(=O)NC1=CC=C(C=C1)N(=O)=O,0
149647-94-9,O=C(NO)CCCCCCC(=O)NC1=CC=C(C=C1)C,0
149648-69-1,O=C(O)CCCCCC(=O)N(O)C(=O)CCCCCC(=O)O,0
149648-68-0,O=C(O)CCCCCCC(=O)NC=1C=CN=CC1,0
149648-65-7,O=C(N(C=1C=CC=CC1)C)CCCCCCC(=O)N(C)C,0
149648-60-2,O=C(NC=1C=CC=CC1)CCCCCCC(=O)N(C)C,0
149648-57-7,O=C(NC=1C=CC=CC1)C2=CC=C(C=C2)NC(=O)CCCCCCC(=O)NO,0
149648-56-6,O=C(NC)C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NC2=CC=C(C=C2)C(=O)NC,0
149648-54-4,O=C(O)CCCCCCC(=O)N(C)CCN(C(=O)CCCCCCC(=O)O)C,0
149648-51-1,N#CCCCCCC(=O)NOCC=1C=CC=CC1,0
149648-46-4,O=C(NC1=NC=CS1)CCCCCCC(=O)NC2=NC=CS2,0
149648-44-2,O=C(NC1=NC=CS1)CCCCC(=O)NC2=NC=CS2,0
149648-32-8,N#CCC1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NC2=CC=C(C=C2)CC#N,0
149648-31-7,O=C(NO)C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NC2=CC=C(C=C2)C(=O)NO,0
149648-30-6,O=C(NC1=CC=C(C=C1)C(F)(F)F)CCCCCCC(=O)NC2=CC=C(C=C2)C(F)(F)F,0
149648-28-2,O=C(NO)CCCCCCC(=O)N(C=1C=CC=CC1)C,0
149648-26-0,O=C(NO)CCCCCCC(=O)NC=1C=CC=C(OC)C1,0
149648-02-2,O=C(NO)CCCCCCC(=O)NC=1C=CC=CC1N,0
149648-01-1,O=C(NO)CCCCCCC(=O)NC1=CC=C(C=C1)C(F)(F)F,0
149647-98-3,O=C(NO)CCCCCCC(=O)NC1=CC=CC(=C1)N(=O)=O,0
149647-97-2,N#CC=1C=CC=CC1NC(=O)CCCCCCC(=O)NO,0
149647-96-1,N#CC1=CC=CC(=C1)NC(=O)CCCCCCC(=O)NO,0
149647-95-0,N#CC1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,0
149647-91-6,O=C(NO)CCCCCCC(=O)N1CCCCC1,0
149647-90-5,O=C(NO)CCCCCCC(=O)NC1CCCCC1,0
149647-89-2,O=C(NO)CCCCCCC(=O)NOC,0
149647-88-1,N#CCCCCCC(=O)NO,0
149647-85-8,O=C(NO)CCCCCCC(=O)N(C)C,0
149647-83-6,O=C(O)CCCCCCC(=O)NC1CCCCC1,0
149647-82-5,N#CC1=CC=C(C=C1)NC(=O)CCCCCCC(=O)O,0
149647-81-4,N#CC1=CC=CC(=C1)NC(=O)CCCCCCC(=O)O,0
149647-80-3,O=C(NO)CCCCCCCCC(=O)NC=1C=CC=CC1,0
136268-94-5,O=C(N(C)C)C(C)CCCCCC(C(=O)N(C)C)C,0
149648-48-6,O=C(NC1=NC=CS1)CCCCCCCCC(=O)NC2=NC=CS2,0
149648-47-5,O=C(NC1=NC=CS1)CCCCCCCC(=O)NC2=NC=CS2,0
149648-45-3,O=C(NC1=NC=CS1)CCCCCC(=O)NC2=NC=CS2,0
149648-43-1,O=C(NO)CCC(F)(F)CCC(=O)NO,0
149648-42-0,O=C(NO)CCCCCC(C(=O)NO)CCCCCC(=O)NO,0
149648-41-9,O=C(NO)CCC(C)CCC(=O)NO,0
149648-40-8,O=C(N(C)C)C(C)CCCCC(C(=O)N(C)C)C,0
149648-38-4,O=C(NC=1C(F)=C(F)C(F)=C(F)C1F)CCCCCCC(=O)NC=2C(F)=C(F)C(F)=C(F)C2F,0
149648-37-3,O=C(NC=1C(F)=CC(F)=CC1F)CCCCCCC(=O)NC=2C(F)=CC(F)=CC2F,0
149648-36-2,O=C(NC=1C(F)=CC=C(F)C1F)CCCCCCC(=O)NC=2C(F)=CC=C(F)C2F,0
149648-35-1,O=C(NC=1C=C(F)C=C(F)C1)CCCCCCC(=O)NC=2C=C(F)C=C(F)C2,0
149648-34-0,O=C(NC=1C(F)=CC=CC1F)CCCCCCC(=O)NC=2C(F)=CC=CC2F,0
149648-33-9,O=C(NC1=CC=C(F)C=C1F)CCCCCCC(=O)NC2=CC=C(F)C=C2F,0
149648-25-9,O=C(NO)CCCCCCC(=O)NC=1C=CC=CC1OC,0
149648-23-7,O=C(NO)CCCCCCC(=O)NC1=CC(F)=CC=C1F,0
149648-22-6,O=C(NO)CCCCCCC(=O)NC1=CC(F)=C(F)C(F)=C1,0
149648-21-5,O=C(NO)CCCCCCC(=O)NC1=CC=C(F)C(F)=C1,0
149648-20-4,O=C(NO)CCCCCCC(=O)NC=1C(F)=C(F)C(F)=C(F)C1F,0
149648-19-1,O=C(NO)CCCCCCC(=O)NC1=CC=C(F)C=C1F,0
149648-18-0,O=C(NO)CCCCCCC(=O)NC=1C(F)=CC(F)=CC1F,0
149648-17-9,O=C(NO)CCCCCCC(=O)NC=1C(F)=CC=C(F)C1F,0
149648-16-8,O=C(NO)CCCCCCC(=O)NC1=CC(F)=C(F)C=C1F,0
149648-15-7,O=C(NO)CCCCCCC(=O)NC=1C=CC=C(F)C1F,0
149648-13-5,O=C(NO)CCCCCCC(=O)NC=1C=CC=CC1Cl,0
149648-11-3,O=C(NC)C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,0
149648-09-9,O=C(NO)CCCCCCC(=O)NC1=CC=C(OCC=2C=CC=CC2)C=C1,0
149648-03-3,N#CCC1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,0
149647-92-7,O=C(NO)CCCCCCC(=O)NOC(C)(C)C,0
149647-84-7,O=C(O)CCCCCCC(=O)NC1=CC=C(OCC=2C=CC=CC2)C=C1,0
149648-67-9,O=C(N(C=1C=CC=CC1)C)CCCCCCCCC(=O)N(C)C,0
149648-66-8,O=C(N(C=1C=CC=CC1)C)CCCCCCCC(=O)N(C)C,0
149648-64-6,O=C(N(C=1C=CC=CC1)C)CCCCCC(=O)N(C)C,0
149648-63-5,O=C(N(C=1C=CC=CC1)C)CCCCC(=O)N(C)C,0
149648-62-4,O=C(NC=1C=CC=CC1)CCCCCCCCC(=O)N(C)C,0
149648-61-3,O=C(NC=1C=CC=CC1)CCCCCCCC(=O)N(C)C,0
149648-59-9,O=C(NC=1C=CC=CC1)CCCCCC(=O)N(C)C,0
149648-58-8,O=C(NC=1C=CC=CC1)CCCCC(=O)N(C)C,0
149648-55-5,O=C(C=CC1=CC=C(C=C1)C=CC(=O)NC=2C=CC=CC2)NO,0
149648-53-3,O=C(OCC=1C=CC=CC1)CCCCCC(=O)N(OCC=2C=CC=CC2)C(=O)CCCCCC(=O)OCC=3C=CC=CC3,0
